Date,Electricity_Price_EUR_per_MWh
2015-01-01,22.34
2015-01-02,22.34
2015-01-03,22.34
2015-01-04,22.34
2015-01-05,36.18
2015-01-06,33.67
2015-01-07,38.59
2015-01-08,28.05
2015-01-09,24.48
2015-01-10,12.15
2015-01-11,1.49
2015-01-12,22.56
2015-01-13,24.97
2015-01-14,27.68
2015-01-15,24.76
2015-01-16,33.89
2015-01-17,31.26
2015-01-18,27.18
2015-01-19,42.75
2015-01-20,47.0
2015-01-21,44.93
2015-01-22,43.88
2015-01-23,42.26
2015-01-24,29.56
2015-01-25,28.43
2015-01-26,37.23
2015-01-27,33.21
2015-01-28,27.47
2015-01-29,26.93
2015-01-30,38.29
2015-01-31,29.78
2015-02-01,29.24
2015-02-02,42.47
2015-02-03,45.76
2015-02-04,48.49
2015-02-05,43.57
2015-02-06,39.29
2015-02-07,25.52
2015-02-08,13.33
2015-02-09,27.93
2015-02-10,44.4
2015-02-11,48.58
2015-02-12,48.15
2015-02-13,38.61
2015-02-14,32.74
2015-02-15,29.27
2015-02-16,35.63
2015-02-17,43.0
2015-02-18,43.22
2015-02-19,37.92
2015-02-20,30.91
2015-02-21,30.69
2015-02-22,32.76
2015-02-23,31.98
2015-02-24,34.8
2015-02-25,44.33
2015-02-26,37.12
2015-02-27,38.94
2015-02-28,28.81
2015-03-01,11.01
2015-03-02,26.57
2015-03-03,27.61
2015-03-04,26.21
2015-03-05,36.6
2015-03-06,40.09
2015-03-07,28.0
2015-03-08,22.82
2015-03-09,39.09
2015-03-10,37.77
2015-03-11,34.96
2015-03-12,39.37
2015-03-13,36.8
2015-03-14,31.98
2015-03-15,27.19
2015-03-16,30.86
2015-03-17,32.12
2015-03-18,36.51
2015-03-19,37.35
2015-03-20,35.3
2015-03-21,30.47
2015-03-22,26.33
2015-03-23,41.37
2015-03-24,48.2
2015-03-25,39.3
2015-03-26,40.83
2015-03-27,33.6
2015-03-28,26.4
2015-03-29,9.84
2015-03-30,18.7
2015-03-31,16.97
2015-04-01,20.68
2015-04-02,32.05
2015-04-03,24.14
2015-04-04,28.09
2015-04-05,25.26
2015-04-06,26.43
2015-04-07,36.03
2015-04-08,42.18
2015-04-09,42.25
2015-04-10,35.66
2015-04-11,19.62
2015-04-12,0.08
2015-04-13,24.07
2015-04-14,32.05
2015-04-15,27.1
2015-04-16,34.64
2015-04-17,37.35
2015-04-18,26.45
2015-04-19,23.48
2015-04-20,32.68
2015-04-21,30.2
2015-04-22,36.13
2015-04-23,34.55
2015-04-24,33.28
2015-04-25,26.2
2015-04-26,23.42
2015-04-27,35.27
2015-04-28,36.82
2015-04-29,32.33
2015-04-30,34.86
2015-05-01,23.09
2015-05-02,25.98
2015-05-03,16.15
2015-05-04,31.94
2015-05-05,26.77
2015-05-06,25.46
2015-05-07,28.78
2015-05-08,29.37
2015-05-09,15.62
2015-05-10,3.98
2015-05-11,29.49
2015-05-12,29.05
2015-05-13,26.72
2015-05-14,20.27
2015-05-15,30.59
2015-05-16,19.4
2015-05-17,13.11
2015-05-18,30.0
2015-05-19,29.27
2015-05-20,34.76
2015-05-21,34.12
2015-05-22,31.16
2015-05-23,23.98
2015-05-24,19.52
2015-05-25,24.18
2015-05-26,32.9
2015-05-27,32.2
2015-05-28,30.48
2015-05-29,30.57
2015-05-30,21.56
2015-05-31,14.75
2015-06-01,32.2
2015-06-02,21.19
2015-06-03,29.51
2015-06-04,28.14
2015-06-05,29.48
2015-06-06,23.13
2015-06-07,18.5
2015-06-08,30.71
2015-06-09,34.03
2015-06-10,32.46
2015-06-11,35.97
2015-06-12,34.97
2015-06-13,25.62
2015-06-14,18.92
2015-06-15,32.35
2015-06-16,37.36
2015-06-17,31.52
2015-06-18,32.56
2015-06-19,32.63
2015-06-20,27.59
2015-06-21,23.49
2015-06-22,33.45
2015-06-23,31.61
2015-06-24,31.12
2015-06-25,36.55
2015-06-26,36.04
2015-06-27,28.64
2015-06-28,21.94
2015-06-29,35.96
2015-06-30,35.63
2015-07-01,33.42
2015-07-02,34.02
2015-07-03,45.14
2015-07-04,33.25
2015-07-05,28.0
2015-07-06,38.69
2015-07-07,47.51
2015-07-08,29.37
2015-07-09,28.8
2015-07-10,33.18
2015-07-11,32.64
2015-07-12,27.74
2015-07-13,40.97
2015-07-14,42.38
2015-07-15,47.61
2015-07-16,45.38
2015-07-17,38.41
2015-07-18,37.48
2015-07-19,28.68
2015-07-20,42.88
2015-07-21,45.61
2015-07-22,46.54
2015-07-23,47.47
2015-07-24,43.98
2015-07-25,13.85
2015-07-26,13.17
2015-07-27,30.68
