Date,Electricity_Price_EUR_per_MWh
2015-01-01,24.51
2015-01-02,24.81
2015-01-03,24.73
2015-01-04,29.4
2015-01-05,41.29
2015-01-06,32.3
2015-01-07,32.93
2015-01-08,29.87
2015-01-09,33.31
2015-01-10,28.87
2015-01-11,27.4
2015-01-12,50.22
2015-01-13,48.24
2015-01-14,34.08
2015-01-15,35.42
2015-01-16,33.3
2015-01-17,28.5
2015-01-18,28.24
2015-01-19,38.89
2015-01-20,36.59
2015-01-21,40.69
2015-01-22,41.64
2015-01-23,40.45
2015-01-24,28.95
2015-01-25,28.79
2015-01-26,37.78
2015-01-27,41.72
2015-01-28,32.35
2015-01-29,32.02
2015-01-30,33.71
2015-01-31,28.0
2015-02-01,27.76
2015-02-02,34.97
2015-02-03,38.22
2015-02-04,42.71
2015-02-05,38.03
2015-02-06,33.1
2015-02-07,27.32
2015-02-08,27.54
2015-02-09,39.79
2015-02-10,33.4
2015-02-11,34.14
2015-02-12,38.07
2015-02-13,44.38
2015-02-14,31.29
2015-02-15,28.66
2015-02-16,37.15
2015-02-17,38.07
2015-02-18,36.64
2015-02-19,34.27
2015-02-20,32.56
2015-02-21,27.18
2015-02-22,26.02
2015-02-23,27.78
2015-02-24,33.46
2015-02-25,30.67
2015-02-26,29.18
2015-02-27,31.15
2015-02-28,32.56
2015-03-01,22.33
2015-03-02,30.01
2015-03-03,32.75
2015-03-04,33.9
2015-03-05,35.94
2015-03-06,31.44
2015-03-07,23.48
2015-03-08,21.37
2015-03-09,33.64
2015-03-10,32.83
2015-03-11,32.58
2015-03-12,34.38
2015-03-13,32.53
2015-03-14,26.06
2015-03-15,24.63
2015-03-16,33.48
2015-03-17,31.24
2015-03-18,34.3
2015-03-19,30.72
2015-03-20,30.88
2015-03-21,24.3
2015-03-22,24.37
2015-03-23,31.76
2015-03-24,32.07
2015-03-25,33.09
2015-03-26,29.68
2015-03-27,30.96
2015-03-28,31.67
2015-03-29,25.26
2015-03-30,34.67
2015-03-31,32.86
2015-04-01,37.95
2015-04-02,32.95
2015-04-03,28.11
2015-04-04,25.58
2015-04-05,27.97
2015-04-06,31.68
2015-04-07,34.61
2015-04-08,29.37
2015-04-09,29.34
2015-04-10,33.32
2015-04-11,26.86
2015-04-12,21.45
2015-04-13,31.91
2015-04-14,32.33
2015-04-15,33.11
2015-04-16,33.59
2015-04-17,32.41
2015-04-18,24.18
2015-04-19,23.22
2015-04-20,34.12
2015-04-21,32.67
2015-04-22,31.45
2015-04-23,29.95
2015-04-24,34.35
2015-04-25,27.96
2015-04-26,22.25
2015-04-27,33.43
2015-04-28,29.27
2015-04-29,30.0
2015-04-30,39.36
2015-05-01,25.09
2015-05-02,29.56
2015-05-03,34.63
2015-05-04,36.64
2015-05-05,33.86
2015-05-06,33.19
2015-05-07,39.79
2015-05-08,34.32
2015-05-09,31.17
2015-05-10,29.32
2015-05-11,34.18
2015-05-12,31.39
2015-05-13,34.6
2015-05-14,35.89
2015-05-15,36.61
2015-05-16,37.0
2015-05-17,34.39
2015-05-18,39.59
2015-05-19,40.62
2015-05-20,32.51
2015-05-21,31.99
2015-05-22,28.49
2015-05-23,21.19
2015-05-24,33.6
2015-05-25,35.54
2015-05-26,33.85
2015-05-27,29.74
2015-05-28,34.28
2015-05-29,35.11
2015-05-30,17.44
2015-05-31,14.8
2015-06-01,31.9
2015-06-02,30.94
2015-06-03,30.12
2015-06-04,25.38
2015-06-05,25.73
2015-06-06,19.65
2015-06-07,8.91
2015-06-08,25.55
2015-06-09,41.12
2015-06-10,34.39
2015-06-11,31.61
2015-06-12,35.39
2015-06-13,15.98
2015-06-14,13.7
2015-06-15,27.23
2015-06-16,23.4
2015-06-17,21.21
2015-06-18,29.29
2015-06-19,33.69
2015-06-20,15.96
2015-06-21,22.0
2015-06-22,35.79
2015-06-23,31.62
2015-06-24,27.53
2015-06-25,35.42
2015-06-26,37.66
2015-06-27,19.55
2015-06-28,20.8
2015-06-29,30.05
2015-06-30,35.77
2015-07-01,30.29
2015-07-02,29.3
2015-07-03,17.83
2015-07-04,9.66
