Date,Electricity_Price_EUR_per_MWh
2015-01-01,36.56
2015-01-02,36.56
2015-01-03,36.56
2015-01-04,36.56
2015-01-05,44.8
2015-01-06,44.93
2015-01-07,45.53
2015-01-08,42.52
2015-01-09,33.02
2015-01-10,18.13
2015-01-11,26.04
2015-01-12,36.5
2015-01-13,36.82
2015-01-14,38.92
2015-01-15,37.08
2015-01-16,42.14
2015-01-17,36.97
2015-01-18,36.88
2015-01-19,46.44
2015-01-20,49.81
2015-01-21,50.08
2015-01-22,51.44
2015-01-23,48.49
2015-01-24,42.41
2015-01-25,40.09
2015-01-26,47.17
2015-01-27,48.28
2015-01-28,45.24
2015-01-29,49.09
2015-01-30,42.35
2015-01-31,41.62
2015-02-01,36.38
2015-02-02,54.18
2015-02-03,56.66
2015-02-04,53.67
2015-02-05,52.53
2015-02-06,52.09
2015-02-07,52.49
2015-02-08,48.29
2015-02-09,62.04
2015-02-10,62.09
2015-02-11,55.88
2015-02-12,54.24
2015-02-13,48.85
2015-02-14,40.41
2015-02-15,41.86
2015-02-16,54.93
2015-02-17,49.86
2015-02-18,51.11
2015-02-19,52.07
2015-02-20,50.96
2015-02-21,48.15
2015-02-22,39.58
2015-02-23,46.97
2015-02-24,46.23
2015-02-25,49.12
2015-02-26,48.03
2015-02-27,48.81
2015-02-28,46.46
2015-03-01,26.59
2015-03-02,45.54
2015-03-03,51.2
2015-03-04,47.59
2015-03-05,49.46
2015-03-06,50.36
2015-03-07,40.85
2015-03-08,30.48
2015-03-09,44.71
2015-03-10,47.17
2015-03-11,46.08
2015-03-12,44.99
2015-03-13,44.61
2015-03-14,40.84
2015-03-15,39.17
2015-03-16,54.08
2015-03-17,47.52
2015-03-18,45.12
2015-03-19,42.25
2015-03-20,40.84
2015-03-21,44.37
2015-03-22,32.14
2015-03-23,52.87
2015-03-24,56.6
2015-03-25,57.02
2015-03-26,50.35
2015-03-27,50.86
2015-03-28,35.62
2015-03-29,18.7
2015-03-30,39.15
2015-03-31,40.52
2015-04-01,44.12
2015-04-02,50.05
2015-04-03,46.79
2015-04-04,30.15
2015-04-05,28.28
2015-04-06,34.05
2015-04-07,52.16
2015-04-08,54.05
2015-04-09,52.6
2015-04-10,46.61
2015-04-11,36.03
2015-04-12,24.13
2015-04-13,48.66
2015-04-14,44.27
2015-04-15,46.09
2015-04-16,44.91
2015-04-17,42.67
2015-04-18,25.07
2015-04-19,24.3
2015-04-20,41.82
2015-04-21,41.91
2015-04-22,39.09
2015-04-23,39.34
2015-04-24,35.92
2015-04-25,26.51
2015-04-26,23.08
2015-04-27,39.75
2015-04-28,41.3
2015-04-29,41.48
2015-04-30,40.29
2015-05-01,21.64
2015-05-02,25.09
2015-05-03,16.2
2015-05-04,34.72
2015-05-05,27.84
2015-05-06,30.37
2015-05-07,38.56
2015-05-08,25.11
2015-05-09,16.86
2015-05-10,12.31
2015-05-11,31.26
2015-05-12,28.37
2015-05-13,27.09
2015-05-14,20.11
2015-05-15,29.93
2015-05-16,21.16
2015-05-17,14.42
2015-05-18,29.7
2015-05-19,29.69
2015-05-20,35.5
2015-05-21,35.47
2015-05-22,32.87
2015-05-23,24.61
2015-05-24,19.29
2015-05-25,23.6
2015-05-26,33.71
2015-05-27,31.67
2015-05-28,33.11
2015-05-29,32.98
2015-05-30,21.04
2015-05-31,15.92
2015-06-01,31.44
2015-06-02,23.58
2015-06-03,31.62
2015-06-04,31.62
2015-06-05,39.04
2015-06-06,24.78
2015-06-07,18.48
2015-06-08,32.98
2015-06-09,33.79
2015-06-10,32.43
2015-06-11,37.21
2015-06-12,35.69
2015-06-13,25.5
2015-06-14,19.47
2015-06-15,35.34
2015-06-16,38.75
2015-06-17,31.72
2015-06-18,36.97
2015-06-19,36.21
2015-06-20,26.38
2015-06-21,18.83
2015-06-22,34.6
2015-06-23,37.55
2015-06-24,35.54
2015-06-25,42.2
2015-06-26,40.41
2015-06-27,29.8
2015-06-28,25.1
2015-06-29,37.74
2015-06-30,39.9
2015-07-01,42.77
2015-07-02,48.7
2015-07-03,50.22
2015-07-04,34.91
2015-07-05,28.84
2015-07-06,47.35
2015-07-07,49.06
2015-07-08,37.85
2015-07-09,39.13
2015-07-10,39.35
2015-07-11,35.1
2015-07-12,28.07
2015-07-13,40.33
2015-07-14,35.34
2015-07-15,47.29
2015-07-16,47.07
2015-07-17,42.03
2015-07-18,38.77
2015-07-19,30.92
2015-07-20,43.89
2015-07-21,50.9
2015-07-22,45.8
2015-07-23,48.32
2015-07-24,44.14
2015-07-25,19.72
2015-07-26,16.79
2015-07-27,25.18
2015-07-28,26.7
2015-07-29,28.12
2015-07-30,31.29
2015-07-31,31.4
2015-08-01,25.51
2015-08-02,19.14
2015-08-03,31.71
2015-08-04,36.85
2015-08-05,35.39
2015-08-06,36.42
2015-08-07,35.48
2015-08-08,27.71
2015-08-09,27.36
2015-08-10,33.37
2015-08-11,37.06
2015-08-12,35.48
2015-08-13,31.44
2015-08-14,30.05
2015-08-15,26.42
2015-08-16,25.72
2015-08-17,38.72
2015-08-18,35.39
2015-08-19,38.16
2015-08-20,33.26
2015-08-21,30.51
2015-08-22,30.57
2015-08-23,19.29
2015-08-24,32.2
2015-08-25,32.02
2015-08-26,32.08
2015-08-27,36.53
2015-08-28,43.35
2015-08-29,33.4
2015-08-30,27.03
2015-08-31,40.29
2015-09-01,42.23
2015-09-02,41.36
2015-09-03,41.73
2015-09-04,37.15
2015-09-05,28.62
2015-09-06,17.52
2015-09-07,37.12
2015-09-08,38.23
2015-09-09,37.71
2015-09-10,38.48
2015-09-11,39.48
2015-09-12,34.49
2015-09-13,28.62
2015-09-14,37.12
2015-09-15,37.21
2015-09-16,36.38
2015-09-17,36.25
2015-09-18,38.0
2015-09-19,30.71
2015-09-20,24.0
2015-09-21,40.04
2015-09-22,42.72
2015-09-23,47.94
2015-09-24,44.92
2015-09-25,45.41
2015-09-26,38.56
2015-09-27,33.28
2015-09-28,44.58
2015-09-29,42.1
2015-09-30,41.49
2015-10-01,42.92
2015-10-02,45.9
2015-10-03,38.09
2015-10-04,36.07
2015-10-05,41.23
2015-10-06,39.45
2015-10-07,42.31
2015-10-08,48.34
2015-10-09,45.52
2015-10-10,37.89
2015-10-11,30.97
2015-10-12,44.99
2015-10-13,46.21
2015-10-14,51.91
2015-10-15,53.06
2015-10-16,55.55
2015-10-17,43.62
2015-10-18,40.71
2015-10-19,54.44
2015-10-20,53.19
2015-10-21,51.79
2015-10-22,49.08
2015-10-23,50.02
2015-10-24,39.24
2015-10-25,36.34
2015-10-26,47.27
2015-10-27,45.6
2015-10-28,49.37
2015-10-29,50.71
2015-10-30,45.07
2015-10-31,36.75
2015-11-01,30.66
2015-11-02,42.55
2015-11-03,45.47
2015-11-04,46.3
2015-11-05,46.22
2015-11-06,39.69
2015-11-07,33.78
2015-11-08,30.37
2015-11-09,37.28
2015-11-10,41.09
2015-11-11,36.69
2015-11-12,46.38
2015-11-13,38.56
2015-11-14,39.08
2015-11-15,33.02
2015-11-16,37.64
2015-11-17,35.72
2015-11-18,42.77
2015-11-19,40.98
2015-11-20,39.66
2015-11-21,33.1
2015-11-22,37.06
2015-11-23,64.64
2015-11-24,60.1
2015-11-25,55.5
2015-11-26,57.14
2015-11-27,53.67
2015-11-28,37.59
2015-11-29,30.73
2015-11-30,37.51
2015-12-01,45.39
2015-12-02,53.56
2015-12-03,45.3
2015-12-04,38.21
2015-12-05,36.78
2015-12-06,31.29
2015-12-07,40.8
2015-12-08,38.07
2015-12-09,52.08
2015-12-10,50.62
2015-12-11,46.24
2015-12-12,38.6
2015-12-13,37.61
2015-12-14,48.62
2015-12-15,44.48
2015-12-16,38.05
2015-12-17,33.74
2015-12-18,35.11
2015-12-19,28.97
2015-12-20,20.68
2015-12-21,32.94
2015-12-22,29.52
2015-12-23,30.47
2015-12-24,22.29
2015-12-25,17.92
2015-12-26,14.97
2015-12-27,18.7
2015-12-28,30.52
2015-12-29,33.61
2015-12-30,29.73
2015-12-31,24.07
2016-01-01,23.59
2016-01-02,23.32
2016-01-03,17.69
2016-01-04,28.44
2016-01-05,33.9
2016-01-06,34.97
2016-01-07,34.49
2016-01-08,32.06
2016-01-09,28.62
2016-01-10,21.06
2016-01-11,32.56
2016-01-12,31.47
2016-01-13,36.62
2016-01-14,39.47
2016-01-15,39.2
2016-01-16,35.46
2016-01-17,35.93
2016-01-18,47.73
2016-01-19,54.36
2016-01-20,59.05
2016-01-21,59.33
2016-01-22,42.7
2016-01-23,33.25
2016-01-24,31.19
2016-01-25,31.59
2016-01-26,31.05
2016-01-27,27.03
2016-01-28,30.84
2016-01-29,29.09
2016-01-30,18.84
2016-01-31,16.6
2016-02-01,23.45
2016-02-02,23.34
2016-02-03,24.72
2016-02-04,26.78
2016-02-05,28.45
2016-02-06,16.54
2016-02-07,13.56
2016-02-08,19.93
2016-02-09,24.2
2016-02-10,27.93
