Date,Electricity_Price_EUR_per_MWh
2015-01-01,20.42
2015-01-02,20.42
2015-01-03,20.42
2015-01-04,24.26
2015-01-05,34.68
2015-01-06,32.25
2015-01-07,35.86
2015-01-08,33.87
2015-01-09,32.9
2015-01-10,31.14
2015-01-11,27.9
2015-01-12,36.3
2015-01-13,33.41
2015-01-14,34.99
2015-01-15,38.19
2015-01-16,35.37
2015-01-17,36.08
2015-01-18,32.91
2015-01-19,37.71
2015-01-20,40.76
2015-01-21,43.18
2015-01-22,39.02
2015-01-23,36.73
2015-01-24,34.78
2015-01-25,30.85
2015-01-26,36.06
2015-01-27,38.41
2015-01-28,35.41
2015-01-29,35.68
2015-01-30,37.2
2015-01-31,32.26
2015-02-01,25.79
2015-02-02,39.24
2015-02-03,42.33
2015-02-04,41.76
2015-02-05,40.02
2015-02-06,38.47
2015-02-07,33.1
2015-02-08,24.75
2015-02-09,36.45
2015-02-10,39.92
2015-02-11,41.79
2015-02-12,39.77
2015-02-13,38.23
2015-02-14,28.77
2015-02-15,28.77
2015-02-16,34.42
2015-02-17,36.55
2015-02-18,37.98
2015-02-19,36.77
2015-02-20,38.34
2015-02-21,32.69
2015-02-22,33.33
2015-02-23,32.64
2015-02-24,25.46
2015-02-25,38.41
2015-02-26,38.06
2015-02-27,38.38
2015-02-28,34.9
2015-03-01,27.75
2015-03-02,33.58
2015-03-03,33.11
2015-03-04,34.54
2015-03-05,41.26
2015-03-06,38.75
2015-03-07,30.17
2015-03-08,30.01
2015-03-09,36.64
2015-03-10,35.78
2015-03-11,36.43
2015-03-12,36.24
2015-03-13,34.21
2015-03-14,30.12
2015-03-15,25.97
2015-03-16,29.82
2015-03-17,31.87
2015-03-18,35.51
2015-03-19,36.4
2015-03-20,37.48
2015-03-21,31.59
2015-03-22,28.18
2015-03-23,34.39
2015-03-24,36.14
2015-03-25,35.34
2015-03-26,34.87
2015-03-27,35.38
2015-03-28,35.08
2015-03-29,23.51
2015-03-30,29.11
2015-03-31,28.21
2015-04-01,29.3
2015-04-02,33.84
2015-04-03,35.14
2015-04-04,33.87
2015-04-05,25.02
2015-04-06,27.11
2015-04-07,35.42
2015-04-08,41.06
2015-04-09,39.7
2015-04-10,39.99
2015-04-11,35.9
2015-04-12,27.88
2015-04-13,32.98
2015-04-14,37.14
2015-04-15,35.61
2015-04-16,36.39
2015-04-17,37.05
2015-04-18,34.79
2015-04-19,33.2
2015-04-20,35.45
2015-04-21,39.42
2015-04-22,41.14
2015-04-23,38.06
2015-04-24,38.84
2015-04-25,37.45
2015-04-26,36.58
2015-04-27,39.2
2015-04-28,40.82
2015-04-29,39.85
2015-04-30,39.4
2015-05-01,33.92
2015-05-02,34.31
2015-05-03,32.93
2015-05-04,42.69
2015-05-05,41.3
2015-05-06,43.5
2015-05-07,40.83
2015-05-08,44.34
2015-05-09,36.88
2015-05-10,34.32
2015-05-11,32.64
2015-05-12,37.63
2015-05-13,38.99
2015-05-14,40.66
2015-05-15,41.19
2015-05-16,37.85
2015-05-17,30.71
2015-05-18,38.86
2015-05-19,43.25
2015-05-20,45.16
2015-05-21,45.67
2015-05-22,42.15
2015-05-23,36.63
2015-05-24,34.52
2015-05-25,42.11
2015-05-26,39.81
2015-05-27,40.97
2015-05-28,41.95
2015-05-29,42.76
2015-05-30,35.48
2015-05-31,32.44
2015-06-01,37.52
2015-06-02,39.21
2015-06-03,38.99
2015-06-04,33.62
2015-06-05,41.28
2015-06-06,33.55
2015-06-07,34.5
2015-06-08,40.96
2015-06-09,40.48
2015-06-10,41.79
2015-06-11,42.45
2015-06-12,43.47
2015-06-13,37.11
2015-06-14,32.78
2015-06-15,39.61
2015-06-16,43.07
2015-06-17,41.84
2015-06-18,39.69
2015-06-19,40.32
2015-06-20,38.07
2015-06-21,34.92
2015-06-22,40.24
2015-06-23,37.55
2015-06-24,38.26
2015-06-25,41.42
2015-06-26,41.46
2015-06-27,37.1
2015-06-28,32.62
2015-06-29,40.89
2015-06-30,40.45
2015-07-01,40.82
2015-07-02,41.68
2015-07-03,43.35
2015-07-04,40.68
2015-07-05,35.34
2015-07-06,40.44
2015-07-07,45.02
2015-07-08,38.65
2015-07-09,36.34
2015-07-10,39.4
2015-07-11,36.5
2015-07-12,33.33
2015-07-13,38.44
2015-07-14,41.2
2015-07-15,42.23
2015-07-16,43.76
2015-07-17,44.14
2015-07-18,39.11
2015-07-19,35.67
2015-07-20,41.24
2015-07-21,44.91
2015-07-22,50.19
2015-07-23,44.52
2015-07-24,44.19
2015-07-25,35.74
2015-07-26,33.09
2015-07-27,40.67
2015-07-28,37.09
2015-07-29,38.36
2015-07-30,35.74
2015-07-31,38.16
2015-08-01,37.17
2015-08-02,33.55
2015-08-03,40.03
2015-08-04,41.17
2015-08-05,43.37
2015-08-06,45.41
2015-08-07,53.13
2015-08-08,48.24
2015-08-09,35.01
2015-08-10,64.72
2015-08-11,106.88
2015-08-12,38.94
2015-08-13,41.31
2015-08-14,35.93
2015-08-15,30.61
2015-08-16,32.34
2015-08-17,35.02
2015-08-18,38.53
2015-08-19,40.53
2015-08-20,39.63
2015-08-21,40.03
2015-08-22,41.15
2015-08-23,34.76
2015-08-24,35.46
2015-08-25,36.96
2015-08-26,40.59
2015-08-27,39.38
2015-08-28,41.9
2015-08-29,37.45
2015-08-30,36.91
2015-08-31,46.18
2015-09-01,49.0
2015-09-02,41.35
2015-09-03,48.15
2015-09-04,42.91
2015-09-05,34.11
2015-09-06,31.61
2015-09-07,36.98
2015-09-08,40.2
2015-09-09,44.45
2015-09-10,41.34
2015-09-11,37.02
2015-09-12,36.28
2015-09-13,30.91
2015-09-14,33.76
2015-09-15,40.92
2015-09-16,43.7
2015-09-17,44.6
2015-09-18,43.62
2015-09-19,37.57
2015-09-20,37.57
2015-09-21,37.57
2015-09-22,37.57
2015-09-23,37.57
2015-09-24,37.57
2015-09-25,37.57
2015-09-26,37.57
2015-09-27,37.57
2015-09-28,37.57
2015-09-29,37.57
2015-09-30,37.57
2015-10-01,37.19
2015-10-02,38.66
2015-10-03,34.62
2015-10-04,34.72
2015-10-05,39.71
2015-10-06,37.87
2015-10-07,35.45
2015-10-08,40.56
2015-10-09,40.88
2015-10-10,35.92
2015-10-11,33.3
2015-10-12,37.8
2015-10-13,41.34
2015-10-14,41.3
2015-10-15,37.99
2015-10-16,41.34
2015-10-17,38.56
2015-10-18,34.18
2015-10-19,42.61
2015-10-20,48.17
2015-10-21,44.43
2015-10-22,41.23
2015-10-23,38.18
2015-10-24,37.19
2015-10-25,34.03
2015-10-26,56.42
2015-10-27,43.98
