Date,Electricity_Price_EUR_per_MWh
2015-01-01,36.52
2015-01-02,41.49
2015-01-03,36.46
2015-01-04,31.78
2015-01-05,47.62
2015-01-06,45.34
2015-01-07,47.82
2015-01-08,46.15
2015-01-09,45.05
2015-01-10,38.82
2015-01-11,30.58
2015-01-12,40.72
2015-01-13,43.99
2015-01-14,45.2
2015-01-15,43.67
2015-01-16,45.83
2015-01-17,42.73
2015-01-18,38.37
2015-01-19,49.61
2015-01-20,49.82
2015-01-21,50.92
2015-01-22,52.06
2015-01-23,49.28
2015-01-24,43.09
2015-01-25,38.38
2015-01-26,48.94
2015-01-27,48.55
2015-01-28,47.17
2015-01-29,48.07
2015-01-30,44.0
2015-01-31,46.0
2015-02-01,38.45
2015-02-02,53.27
2015-02-03,57.46
2015-02-04,56.83
2015-02-05,54.63
2015-02-06,51.3
2015-02-07,49.46
2015-02-08,45.44
2015-02-09,63.01
2015-02-10,59.3
2015-02-11,59.82
2015-02-12,53.15
2015-02-13,49.63
2015-02-14,39.93
2015-02-15,41.35
2015-02-16,54.73
2015-02-17,52.83
2015-02-18,52.99
2015-02-19,52.96
2015-02-20,49.94
2015-02-21,47.43
2015-02-22,42.3
2015-02-23,48.24
2015-02-24,49.38
2015-02-25,50.93
2015-02-26,49.47
2015-02-27,51.46
2015-02-28,48.52
2015-03-01,31.35
2015-03-02,48.47
2015-03-03,51.53
2015-03-04,51.34
2015-03-05,50.97
2015-03-06,50.49
2015-03-07,40.82
2015-03-08,28.44
2015-03-09,47.68
2015-03-10,47.89
2015-03-11,46.89
2015-03-12,47.45
2015-03-13,46.09
2015-03-14,39.18
2015-03-15,33.63
2015-03-16,51.49
2015-03-17,51.01
2015-03-18,48.51
2015-03-19,47.4
2015-03-20,40.06
2015-03-21,38.15
2015-03-22,33.49
2015-03-23,51.55
2015-03-24,54.29
2015-03-25,57.13
2015-03-26,53.73
2015-03-27,49.99
2015-03-28,37.68
2015-03-29,19.07
2015-03-30,41.24
2015-03-31,41.88
2015-04-01,47.1
2015-04-02,50.63
2015-04-03,46.66
2015-04-04,32.29
2015-04-05,24.64
2015-04-06,29.49
2015-04-07,50.52
2015-04-08,52.77
2015-04-09,50.43
2015-04-10,46.08
2015-04-11,30.56
2015-04-12,21.49
2015-04-13,46.07
2015-04-14,46.17
2015-04-15,42.38
2015-04-16,42.77
2015-04-17,44.31
2015-04-18,25.38
2015-04-19,18.29
2015-04-20,40.82
2015-04-21,39.88
2015-04-22,39.99
2015-04-23,39.69
2015-04-24,35.57
2015-04-25,28.7
2015-04-26,23.25
2015-04-27,34.36
2015-04-28,40.34
2015-04-29,39.28
2015-04-30,37.04
2015-05-01,23.27
2015-05-02,25.35
2015-05-03,16.69
2015-05-04,29.8
2015-05-05,27.24
2015-05-06,27.2
2015-05-07,26.79
2015-05-08,30.46
2015-05-09,16.58
2015-05-10,8.46
2015-05-11,30.45
2015-05-12,26.62
2015-05-13,25.28
2015-05-14,19.09
2015-05-15,29.28
2015-05-16,18.93
2015-05-17,9.63
2015-05-18,30.25
2015-05-19,29.86
2015-05-20,35.51
2015-05-21,33.21
2015-05-22,32.33
2015-05-23,24.59
2015-05-24,17.86
2015-05-25,20.73
2015-05-26,30.57
2015-05-27,32.16
2015-05-28,29.49
2015-05-29,31.42
2015-05-30,20.07
2015-05-31,16.97
2015-06-01,32.59
2015-06-02,22.91
2015-06-03,28.29
2015-06-04,29.44
2015-06-05,29.57
2015-06-06,25.33
2015-06-07,19.0
2015-06-08,32.61
2015-06-09,33.48
2015-06-10,33.14
2015-06-11,33.89
2015-06-12,34.07
2015-06-13,24.37
2015-06-14,18.82
2015-06-15,33.18
2015-06-16,34.79
2015-06-17,32.72
2015-06-18,33.09
2015-06-19,31.48
2015-06-20,26.48
2015-06-21,22.54
2015-06-22,35.96
2015-06-23,32.96
2015-06-24,33.4
2015-06-25,36.42
2015-06-26,36.26
2015-06-27,28.98
2015-06-28,23.28
2015-06-29,37.24
2015-06-30,37.32
2015-07-01,35.74
2015-07-02,35.88
2015-07-03,42.0
2015-07-04,39.05
2015-07-05,29.5
2015-07-06,41.99
2015-07-07,43.27
2015-07-08,31.68
2015-07-09,31.97
2015-07-10,36.42
2015-07-11,31.68
2015-07-12,25.91
2015-07-13,37.64
2015-07-14,41.62
2015-07-15,46.29
2015-07-16,48.47
2015-07-17,40.58
2015-07-18,35.81
2015-07-19,29.44
2015-07-20,43.05
2015-07-21,44.55
2015-07-22,49.58
2015-07-23,47.27
2015-07-24,43.57
2015-07-25,19.75
2015-07-26,17.17
2015-07-27,30.1
2015-07-28,26.85
2015-07-29,26.91
2015-07-30,27.81
2015-07-31,33.75
2015-08-01,27.3
2015-08-02,21.35
2015-08-03,33.08
2015-08-04,33.08
2015-08-05,35.43
2015-08-06,34.99
2015-08-07,35.12
2015-08-08,25.03
2015-08-09,24.33
2015-08-10,35.73
2015-08-11,36.66
2015-08-12,38.68
2015-08-13,32.87
2015-08-14,31.73
2015-08-15,29.09
2015-08-16,28.57
2015-08-17,38.49
2015-08-18,40.43
2015-08-19,40.08
2015-08-20,38.31
2015-08-21,32.91
2015-08-22,27.86
2015-08-23,17.79
2015-08-24,33.2
2015-08-25,32.12
2015-08-26,32.75
2015-08-27,37.18
2015-08-28,40.0
2015-08-29,32.86
2015-08-30,27.1
2015-08-31,39.8
2015-09-01,39.13
2015-09-02,40.01
2015-09-03,41.21
2015-09-04,37.15
2015-09-05,28.33
2015-09-06,21.11
2015-09-07,38.98
2015-09-08,39.93
2015-09-09,38.78
2015-09-10,38.49
2015-09-11,41.12
2015-09-12,35.8
2015-09-13,27.99
2015-09-14,33.99
2015-09-15,35.96
2015-09-16,34.59
2015-09-17,35.58
2015-09-18,37.14
2015-09-19,30.35
2015-09-20,22.75
2015-09-21,38.33
2015-09-22,37.73
2015-09-23,43.84
2015-09-24,41.47
2015-09-25,42.89
2015-09-26,37.63
2015-09-27,29.97
2015-09-28,41.66
2015-09-29,43.22
2015-09-30,42.01
2015-10-01,44.18
2015-10-02,44.92
2015-10-03,36.72
2015-10-04,29.65
2015-10-05,42.87
2015-10-06,39.72
2015-10-07,43.62
2015-10-08,48.26
2015-10-09,46.45
2015-10-10,37.32
2015-10-11,29.57
2015-10-12,44.04
2015-10-13,47.59
2015-10-14,50.66
2015-10-15,53.99
2015-10-16,53.15
2015-10-17,44.11
2015-10-18,41.66
2015-10-19,55.28
2015-10-20,55.17
2015-10-21,51.74
